Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
10,drone_0,7.8452,9.6502,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_1,7.1366,10.5568,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_2,6.9660,9.5052,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_3,7.2208,10.9489,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_4,7.9864,9.2365,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_5,6.8476,11.1843,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_6,8.6078,8.9246,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_7,6.7972,10.8130,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_8,8.2208,9.7940,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
10,drone_9,6.6259,9.7997,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_0,7.9565,9.5389,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_1,7.2393,10.4541,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_2,7.0865,9.3847,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_3,7.3321,10.8376,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_4,8.0976,9.1253,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_5,6.9588,11.0730,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_6,8.7283,8.8041,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_7,6.9085,10.7018,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_8,8.3321,9.6828,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
11,drone_9,6.7465,9.6792,12.4014,3.1200,"19.326,12.496,0.331;9.363,3.260,0.681;16.482,7.735,0.685;12.817,16.061,1.371;17.372,18.809,1.066;2.563,15.970,0.245;19.161,9.296,0.217;19.769,1.785,0.265;1.016,7.196,1.101;1.791,13.008,0.645;15.961,5.701,0.367;4.866,6.191,0.322;9.674,10.219,0.469;15.692,4.099,1.222;3.706,4.694,1.119;6.514,15.004,0.364;17.620,9.174,0.332;13.182,11.300,1.163;15.271,5.418,0.266;2.978,3.010,0.211;12.225,12.753,0.401;15.915,12.191,0.307;15.168,10.841,0.229;7.018,2.991,1.119;12.047,13.262,1.002;14.855,12.636,0.466;15.371,19.212,0.427;5.842,6.639,0.452;9.681,2.753,0.492;12.143,11.316,0.477;0.829,12.244,1.016;6.146,0.832,1.055;6.208,17.297,1.857;12.292,16.954,1.060;1.687,15.880,0.449;0.760,14.674,0.779;15.855,8.151,0.367;10.147,13.996,0.374;2.480,11.043,2.396;2.135,5.523,2.356;0.982,9.072,1.034;3.347,12.051,1.825;17.338,14.071,0.244;3.874,5.585,0.652;17.773,15.805,1.829;7.439,1.767,0.970;5.910,18.786,1.062;5.212,7.644,1.236;7.562,19.764,0.432;8.937,7.847,0.787;2.344,0.721,0.605;2.519,3.245,2.261;10.424,16.671,2.145;18.606,2.786,0.769"
