Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
70,drone_3,10.365,14.018,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
70,drone_4,14.782,10.709,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
70,drone_5,15.190,12.470,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
70,drone_8,15.610,12.763,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
70,drone_9,15.124,13.589,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_0,14.323,13.406,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_1,11.089,13.602,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_2,14.793,12.898,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_3,10.458,14.162,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_4,14.843,10.728,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_5,15.141,12.509,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_8,15.540,12.836,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
71,drone_9,15.151,13.474,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
72,drone_0,14.284,13.454,10.790,15.974,"16.46508267158718,14.518820802253503,1.3460860957157377;9.792440748271618,8.72186201649817,2.013983415188796;4.823954648390711,10.21170970325374,0.9703968545396049;12.794305866006034,13.460887994108328,1.1124491692601466;5.846826174503126,19.54931049363009,0.4317741679889673;6.102581323717257,1.872348697624461,0.21174727772215085;5.996303241174518,14.036318353323116,0.8948740594199216;15.823293119494986,17.21793757734697,0.9487633650441715;17.668252615256375,15.067526607864114,1.5508707069020389;5.294702123198666,17.133828674325816,1.2457944482150318;14.877466035926734,15.02184543364942,1.1567919464669782;2.5380631253056958,8.512740321109675,1.9851426425481784;14.307760306817178,3.162550859677183,1.042565871250807;8.627846804633862,3.6913679773763675,0.891785331463165;18.740557443134882,1.4178997308775663,1.1723646107591104;13.434702809290632,11.859113288577486,1.1164711106739453;6.25075439174366,4.871233048269763,2.18424984182479;4.185886912844649,10.789479131694655,0.6856505000910362;10.851753673730368,8.366316577034496,1.9661117238566792"
