Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
6,drone_0,14.862,7.199,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_2,9.581,12.621,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_3,17.816,1.756,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_4,16.984,13.833,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_5,15.972,1.931,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_6,18.691,3.511,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_7,6.645,8.021,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_8,2.104,3.909,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
6,drone_9,15.339,2.459,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
7,drone_2,9.468,12.456,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
7,drone_3,17.655,1.875,15.713,7.459,"11.171987302074955,11.94707424671446,1.0480105177296013;14.650113345602554,16.390409228945536,0.6260268255032436;10.599437723690011,15.134876386691518,1.2947079983741805;8.412545028925068,14.480393727153537,0.9413137998777346;14.443480279143026,16.71495106210602,1.1734423627879917;3.9449879713193363,16.083976347240394,1.8819771130780276;13.919712207227995,10.002030701897501,0.282945916156431;15.637143208520051,15.682625983592676,1.1962148067876095;10.46006472875337,9.721728548679504,0.4782943989938877;1.4457935815532723,5.679707415383309,0.37951863520952833;13.79901663231782,15.34246669995441,1.03499923611668;10.02841523913398,17.41602730482451,0.9166534648758322;17.918202973485066,10.777795711284387,0.9752218559089849;4.916036502640671,2.412308028974564,0.8747081521681626;6.43062700420369,9.756220212434874,0.3921824129689583;15.549596914278439,19.526482290928527,0.23942482305635726;16.4955578016331,12.604661730502723,0.790599085739238;11.692789123593213,2.710655419487165,1.838896129453485;16.481248299745797,19.685128714633926,0.2546671110823124;17.43416805910697,3.375198650535287,0.8714927001538257;11.853630970894427,8.511944043024803,1.9389741855160014;17.317919908776943,18.902903521173407,0.2960658034881428;12.81562480723867,11.142488931234768,0.9253685663982878;16.012549084029345,13.26141994722271,0.39462773223237857;12.74856893424808,5.940197797912582,0.8886812278869178;16.899738343272872,10.376188967675654,1.0084400502869215"
