Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
128,drone_7,15.353,2.700,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
128,drone_8,15.083,16.258,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_0,13.871,2.239,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_2,10.874,3.696,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_3,15.083,14.722,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_5,13.881,2.984,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_7,15.155,2.724,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
129,drone_8,15.141,16.355,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
130,drone_0,13.707,2.290,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
130,drone_2,10.770,3.815,5.009,14.793,"12.386245014133547,1.5084977074767825,0.9233546169081601;5.383730022148069,8.344578584995693,0.20425058409242108;13.016944441188336,14.97080915227478,1.112327310403936;18.568097626995485,14.252606751951514,0.9604754082099509;13.566634677143067,16.808522474349637,1.0727543914335356;4.420227234518971,2.2007404987999273,0.26119096158482547;18.40266166658354,15.979977054832146,0.842291153938768;15.549115066922178,6.624091129611651,2.360200512960617;9.854106608076185,16.416336561638804,1.2407135270806307;8.20695938945117,3.400490984460485,2.072274203030996;4.045798512500606,3.0705797325383326,0.940318654549781;17.747884964150096,18.34921740392682,1.02716523152026;16.669312165683838,7.114784130761912,1.125848386150862;14.33428499123426,6.713006889035956,0.324323177067106;18.098930506040343,5.819676354609545,1.7827705150391158;15.148285927855918,1.0366807188341736,0.6641895676087413;8.20627399251425,6.188339595374513,2.1483927570141863;9.987377987971138,8.217489334066723,1.1751531870766971;14.430576475319874,14.265686655995497,0.22570254954341326;11.222197444005763,1.332931177044206,0.22599291938918614;17.338257491430184,18.368915633572804,1.300819308634853;18.2996612769779,14.33458436443704,0.4171886824613925;16.251257240971643,5.794169971164532,2.3995678950022095;9.630274734931643,6.130704765670692,1.0171969448856624;12.072736148346335,12.651120905749332,0.6735775303429531;12.653249420567757,5.432043764625831,2.047169800968538;12.059297541350682,10.396835332712314,1.2091507181396435;4.793278351374045,10.544183606673771,0.22485206525700072;13.827247783776565,11.827461532818127,1.287232316575695"
