Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
7,drone_9,14.2298,14.2133,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_0,14.4325,13.7079,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_1,14.8603,13.9846,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_2,16.8021,13.1506,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_3,14.1228,13.2789,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_4,14.8577,12.5517,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_5,15.6153,12.7491,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_6,15.5685,13.1934,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_7,14.8792,11.7195,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_8,14.9984,13.5587,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
8,drone_9,14.3325,14.1106,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_0,14.5352,13.6052,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_1,14.9716,13.8734,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_2,16.9435,13.0091,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_3,14.2341,13.1677,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_4,14.9689,12.4404,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_5,15.7359,12.6286,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_6,15.6798,13.0821,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_7,15.0098,11.5890,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_8,15.0932,13.4639,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
9,drone_9,14.4352,14.0079,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
10,drone_0,14.6379,13.5025,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
10,drone_1,15.0828,13.7621,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
10,drone_2,17.0850,12.8677,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
10,drone_3,14.3453,13.0564,6.4152,9.8465,"16.340,6.722,0.326;4.699,18.387,0.877;3.954,16.411,0.338;3.280,1.054,0.334;18.243,18.381,1.970;9.039,6.465,0.438;18.817,1.353,0.309;1.427,3.275,1.758;4.914,18.758,2.276;2.039,18.189,0.772;11.727,0.340,0.360;12.009,16.789,0.296;5.439,16.585,0.224;14.850,2.955,0.749;9.188,14.431,1.923;8.929,1.622,0.612;11.419,11.397,1.558;3.078,9.609,1.054;2.470,6.048,0.845;16.972,15.536,0.938;14.067,17.242,0.380;3.085,4.523,1.539;11.392,8.759,1.044;12.331,15.504,0.829;11.948,2.540,0.259;19.031,3.278,0.919;10.449,16.259,2.494;18.478,1.467,1.016;3.931,6.667,1.112;6.895,18.668,1.009;16.268,16.455,0.457;11.342,10.503,2.134;10.218,1.363,1.910;0.659,5.053,0.213;3.371,19.347,1.006;18.685,4.804,0.853;9.240,4.360,1.136;3.817,12.065,0.478;3.189,8.941,0.716;9.202,8.244,0.370;6.422,6.527,1.080;10.049,4.448,1.786;12.230,10.105,2.380;13.042,3.436,1.147"
