Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
11,drone_3,4.9806,6.5149,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
11,drone_4,7.3436,8.2377,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
11,drone_5,5.4566,9.0383,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
11,drone_6,4.9789,7.7397,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
11,drone_7,6.4723,8.3971,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
11,drone_8,5.7532,7.0518,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_0,-100.0000,-100.0000,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_1,6.9818,8.9845,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_2,5.9417,7.5508,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_3,5.1804,6.5073,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_4,7.5392,8.2798,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_5,5.6560,9.0545,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_6,5.1789,7.7364,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_7,6.6623,8.4596,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
12,drone_8,5.9464,7.1033,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_1,7.1781,9.0228,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_2,6.1397,7.5793,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_3,5.3739,6.5581,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_4,7.7132,8.3783,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_5,5.8510,9.0987,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_6,5.3731,7.7840,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_7,6.8416,8.5482,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
13,drone_8,6.1334,7.1744,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
14,drone_1,7.3652,9.0934,17.0000,17.0000,"14.718,16.913,0.207;15.687,11.045,0.304;9.174,16.426,1.105;3.050,10.665,0.337;14.639,13.540,0.219;6.033,13.532,1.196;10.470,4.902,2.474;4.364,3.864,1.301;12.457,6.770,0.349;14.081,9.273,1.109;11.639,13.848,0.658;3.891,1.868,0.246;12.374,9.137,0.446;16.806,3.229,1.216;1.101,15.031,1.004;16.593,13.282,0.204;8.683,8.610,0.320;13.570,9.962,0.807;19.056,10.433,1.786;1.988,12.929,0.997;16.704,3.421,2.429;11.183,11.709,0.798;11.991,12.844,2.277;15.553,10.431,1.069;7.122,2.972,1.094;11.396,11.048,0.872;5.363,0.358,0.651;14.954,15.213,0.238;4.273,1.895,1.288;1.041,9.808,0.837;8.513,6.239,1.843;17.494,9.252,1.194;7.612,13.385,0.486;15.054,12.024,1.182;14.785,14.436,0.397;16.619,7.258,0.712;2.241,1.761,0.741;2.629,12.096,0.419;1.732,3.312,1.505;14.092,5.344,0.743;14.807,6.690,1.159;10.839,10.318,0.615;10.852,2.820,0.817;4.743,14.069,0.946;18.961,4.040,0.843;7.710,4.024,1.658"
