Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
26,drone_8,5.260,14.304,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
26,drone_9,8.936,11.776,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_0,6.757,12.271,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_1,8.164,13.043,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_2,6.369,11.752,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_3,8.803,13.807,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_4,8.140,14.041,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_5,7.164,13.988,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_6,8.156,12.126,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_7,6.394,13.219,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_8,5.174,14.484,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
27,drone_9,8.827,11.772,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
28,drone_0,6.635,12.393,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
28,drone_1,8.074,13.133,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
28,drone_2,6.246,11.873,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
28,drone_3,8.699,13.911,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
28,drone_4,8.050,14.131,4.364,17.011,"5.354616968824242,8.118350099967632,0.33498070118527057;2.8183982904162233,6.983503116224945,0.38353884654121684;2.858441998083711,5.016426287451527,0.3280957752968619;12.52903912419457,17.308134125711828,1.8001661066882626;6.285587241728422,1.230138718125862,0.23811794292019983;10.759873909173773,15.570916411940289,1.661516421661779;4.031854258171668,4.303445395748719,0.4198088544313326;3.019754808257415,6.082780675619602,0.7318476073429467;1.6491845292447818,11.1120469707534,0.4417026215813783;10.60351440361559,8.35437309891162,0.4131205836182483;2.493121641949289,13.124859144970198,1.2802716101584362;6.25091109835846,14.038546254151163,0.26377697064180067;17.42391380437133,4.288687889160322,2.4533528796670216;10.075595589219716,3.8704844049015374,2.3187270962210738;17.81061165061824,3.7546048249983928,0.4882585858989985;17.25789124146396,9.123766777204574,2.157496253484756"
