Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
8,drone_4,13.6612,2.5064,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
8,drone_5,15.7773,0.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
8,drone_7,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
8,drone_8,13.8473,2.1292,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
8,drone_9,13.7330,1.3393,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_0,13.4739,0.9184,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_1,16.2029,1.7836,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_2,14.1564,0.0081,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_3,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_4,13.7918,2.3758,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_5,15.9187,0.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_8,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
9,drone_9,13.8535,1.2188,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_0,13.6044,0.7878,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_1,16.3443,1.6422,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_2,14.2979,0.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_4,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_5,16.0601,0.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
10,drone_9,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
11,drone_0,-100.0000,-100.0000,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
11,drone_1,16.4857,1.5007,12.7930,17.8499,"19.649,11.218,0.625;17.606,13.988,0.301;19.150,15.105,0.360;11.758,14.545,0.369;18.012,12.119,0.362;12.467,7.827,2.163;7.426,1.643,0.304;12.552,5.761,1.036;11.183,9.360,0.396;7.688,4.536,0.428;0.492,5.243,0.265;7.580,8.348,0.279;11.487,3.755,0.802;2.482,15.734,0.381;15.920,5.173,0.478;3.149,6.137,0.401;6.082,16.606,0.330;1.840,7.850,0.397;13.972,6.196,0.294;8.911,12.714,1.021;15.725,17.061,0.814;2.310,12.375,1.358;0.602,19.051,1.125;1.527,1.441,0.337;1.400,6.745,0.224;1.582,16.693,2.296;11.150,9.302,1.308;17.259,13.545,2.021;3.420,16.462,0.500;2.271,2.294,2.006;10.401,7.756,0.481;7.455,11.836,0.417;5.871,1.296,2.177;5.228,9.070,0.461;17.994,15.854,1.818;8.467,8.415,0.276;3.522,12.420,2.100;5.645,13.687,0.467;17.868,1.447,0.479;6.820,4.310,0.346;18.443,6.474,0.314;10.682,5.046,1.309;19.175,17.731,0.986;18.186,18.669,1.047;5.776,5.600,2.100;6.611,14.215,0.287;7.870,14.816,0.255;3.362,3.928,0.607;16.549,11.286,0.438;8.006,11.807,0.391;12.028,11.588,1.292"
