Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
34,drone_2,18.471,10.169,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_3,15.520,11.914,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_4,15.048,12.691,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_5,9.242,15.046,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_6,4.477,10.821,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_7,6.898,12.946,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
34,drone_9,12.978,12.918,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
35,drone_0,17.262,12.457,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
35,drone_2,18.431,10.365,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
35,drone_3,15.488,12.083,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
35,drone_4,15.079,12.860,15.411,14.881,"6.573485601573015,10.176700915675879,1.3702937297465343;5.463771629171123,3.0726677914259692,2.047819843181656;6.065362814900073,5.907243044952249,0.617588031318503;2.356062837334627,12.40492454107164,0.2991224897426716;13.32078704123135,6.555738956360631,0.7644568909250944;17.72771646803791,13.870788037962507,0.3771466835676784;9.175603816949854,6.228565364360469,0.4932622354879883;1.3761332944800697,16.366997037641482,0.31256920780055514;6.408444441797868,16.68400270968676,0.7204936440421207;7.879469293707216,12.414912538226691,0.23681153996057097;7.372687855828952,9.067971619569017,0.7954979079591591;5.9528380612735825,2.0007978734911935,0.9639346780782916;10.830027166018784,19.555958698335804,0.2210682254905966;3.402393727485599,13.259473888751067,1.933569715219198;12.398437804069843,1.8527661632778427,1.8471703282814431;14.056166572585258,11.549939383834525,0.37480738146580805;7.3756447383747075,16.41035960739083,0.37131747461099385;11.80527817792504,16.085373735659424,0.28211931674680457;3.278602632016067,9.641215419644713,0.22236872595033189;16.645812336055904,10.014177769893623,1.1836244543161012;2.954117381854701,4.888938672886746,0.3391069581403269;12.79040356926678,7.715547335720377,0.4757273226671519;1.6540800648906586,19.314901687276354,0.23126212595445816;8.075365632419006,17.92732799732493,0.9492608945324474;6.21179661776569,7.440132792433986,1.84870234366129;8.371261450257377,10.676930619028012,0.34532287238001413;5.090959526943133,3.6905564507695305,1.5651982736914922"
