Step,Agent,X,Y,Goal_X,Goal_Y,Obstacles
48,drone_3,13.359,8.681,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_4,16.461,9.079,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_5,17.639,6.344,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_6,16.289,10.996,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_7,17.334,9.563,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_8,15.357,10.587,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
48,drone_9,14.813,9.504,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_0,14.323,8.785,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_1,15.666,9.771,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_2,16.780,7.366,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_3,13.478,8.557,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_4,16.542,8.927,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_5,17.727,6.164,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_6,16.430,10.853,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_7,17.422,9.383,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
49,drone_8,15.471,10.458,17.866,5.363,"2.027314475226344,4.768220014590655,1.1453488869065116;14.14848339249059,17.50389334576724,2.4073347829439946;2.347573404603544,6.785593590722701,1.6925268188539473;3.3162010118191256,10.08886010922279,1.3236978019571057;6.004468394849128,12.995850493575066,0.6744039641700955;18.996816534372968,17.476362643947787,0.3703357113908389;2.506517188718586,4.355669082531953,0.4643123684337304;8.611790951685148,3.45217316337755,1.0260094297509061;3.60531345605766,15.070058858772194,0.7011649442405157;4.3548558744712755,8.843812999708673,0.4916113766068545;2.5272670015637066,15.22024320139478,2.3740559445737146;1.4922862941203499,12.673367471972814,0.9376116147441049;14.993889166156048,16.11888845757667,1.8068027237771571;17.12080622487087,19.12123705898589,0.8156004408096176;11.89148597100245,18.706830397634533,0.4853692956323233;10.852863387245144,10.48497894239261,0.44445119122192966;14.646191232944224,5.924472763184365,1.2377335634618798"
